#
# http://www.portaldalinguaportuguesa.org/index.php?action=gentilicos&act=list
#
# toponym;type;demonym:pos;holonym
# toponym (language variant);type;demonym:pos;holonym (country)
#
Amapá;estado;amapaense:N;Brasil
Amarante;cidade;amarantino:ADJ;Porto (Portugal)
Amarante;cidade;amarantino:N;Porto (Portugal)
Amarante;região;amarantino:ADJ;Maranhão (Brasil)
Amarante;região;amarantino:N;Maranhão (Brasil)
Amares;vila;amarense:ADJ;Braga (Portugal)
Amares;vila;amarense:N;Braga (Portugal)
Amastre;cidade;amastríaco:ADJ;Itália
Amastre;cidade;amastríaco:N;Itália
Amastre;cidade;amastriano:ADJ;Itália
Amastre;cidade;amastriano:N;Itália
Amazonas;estado;amazonense:ADJ;Brasil
Amazonas;estado;amazonense:N;Brasil
Ambaca;região;ambaquista:ADJ;Angola
Ambaca;região;ambaquista:N;Angola
Améria;cidade;amerino:ADJ;Itália
Améria;cidade;amerino:N;Itália
América;continente;americano:ADJ;Mundo
América;continente;americano:N;Mundo
América Central;região;centro-americano:ADJ;América
América Central;região;centro-americano:N;América
América do Sul;região;sul-americano:ADJ;América
América do Sul;região;sul-americano:N;América
Américo de Campos;cidade;américo-campista:ADJ;São Paulo (Brasil)
Américo de Campos;cidade;américo-campista:N;São Paulo (Brasil)
Amesterdã (PB);cidade;amesterdanês:ADJ;Países Baixos
Amesterdã (PB);cidade;amesterdanês:N;Países Baixos
Amesterdã (PB);cidade;amsterdamês:ADJ;Países Baixos
Amesterdã (PB);cidade;amsterdamês:N;Países Baixos
Amesterdão (Portugal);cidade;amesterdanês:ADJ;Países Baixos
Amesterdão (Portugal);cidade;amesterdanês:N;Países Baixos
Amesterdão (Portugal);cidade;amsterdamês:ADJ;Países Baixos
Amesterdão (Portugal);cidade;amsterdamês:N;Países Baixos
Anadia;cidade;anadiense:ADJ;Alagoas (Brasil)
Anadia;cidade;anadiense:ADJ;Aveiro (Portugal)
Anadia;cidade;anadiense:N;Alagoas (Brasil)
Anadia;cidade;anadiense:N;Aveiro (Portugal)
Anápolis;cidade;anapolino:ADJ;Goiás (Brasil)
Anápolis;cidade;anapolino:N;Goiás (Brasil)
Anápolis;cidade;anapolitano:ADJ;Goiás (Brasil)
Anápolis;cidade;anapolitano:N;Goiás (Brasil)
Anastácio;cidade;anastaciano:ADJ;Mato Grosso do Sul (Brasil)
Anastácio;cidade;anastaciano:N;Mato Grosso do Sul (Brasil)
Anatólia;região;anatoliano:ADJ;Turquia
Anatólia;região;anatoliano:N;Turquia
Ancara;cidade;ancarense:ADJ;Turquia
Ancara;cidade;ancarense:N;Turquia
Andaluzia;região;andaluz:ADJ;Espanha
Andaluzia;região;andaluz:N;Espanha
Andamão;ilha;andamanês:ADJ;Índia
Andamão;ilha;andamanês:N;Índia
